     78.12 1.647582e+03 3.681885e+02 1.058914e+03 2.077600e-02
    117.19 1.470084e+03 3.442341e+02 1.003314e+03 3.289100e-02
    156.25 2.785321e+03 6.754475e+02 1.960959e+03 2.243800e-02
    195.31 1.660743e+03 4.099705e+02 1.198597e+03 4.588700e-02
    292.97 2.439977e+03 6.198859e+02 1.813506e+03 4.549200e-02
    390.62 1.927562e+03 4.978840e+02 1.459641e+03 7.536100e-02
    781.25 3.113277e+03 8.240626e+02 2.421494e+03 9.085300e-02
   1562.50 3.142283e+03 8.418571e+02 2.483210e+03 1.771900e-01
   3125.00 3.517875e+03 9.489242e+02 2.802164e+03 3.140430e-01
   7812.50 3.484491e+03 9.552604e+02 2.798413e+03 7.861600e-01
  15625.00 2.784879e+03 7.612175e+02 2.238976e+03 1.965184e+00
  31250.00 2.873329e+03 8.105132e+02 2.331404e+03 3.774550e+00
  46875.00 2.886963e+03 8.664179e+02 2.380211e+03 5.545727e+00
  62500.00 2.974441e+03 8.706204e+02 2.437142e+03 7.221572e+00
 117187.50 3.076423e+03 8.624786e+02 2.493322e+03 1.323536e+01
